id,downloadLink,semester,subjects,notes
2,https://drive.google.com/open?id=1ilhGE7cBf42UHtWeUJsK7bULpfkwv0E2,SEMESTER I,Imperative Programming,https://drive.google.com/open?id=11WEIbn3LtkW2jAxeHIPh2xfG9Jd4uakQ
3,https://drive.google.com/open?id=1L9TYf9f_Fv2Tm2JQ-itLck_o2iCglqV1,SEMESTER I,Digital Electronics,https://drive.google.com/open?id=18B9QpuMwZCbRgJMH2IXIDZpW8ynTi5hi
4,https://drive.google.com/open?id=1T8rtPMnXWM5uuwJ175nSxWiLtGYGX9mZ,SEMESTER I,Operating System,https://drive.google.com/open?id=1ADeppooDQtAta7dLSsRf9bHiae4_QL4W
5,https://drive.google.com/open?id=17ZUZePanE9mIVel8ykcvzXa0sxjzvI7w,SEMESTER I,Discrete Mathematics,https://drive.google.com/open?id=1VN6hNMViPKiq42jnM6p5_nflqS52qvOm
6,https://drive.google.com/open?id=1zrj1PeTGbeb0UmUgxGK5frvSMHlQSbni,SEMESTER I,Communication Skills,https://drive.google.com/open?id=1zTDe3LHsd41HqBzbn8n-o3SjQBogcprS
7,https://drive.google.com/open?id=1MEWKg_YJK_5eJ3iMxAO-eAT6cFxeZfXb,SEMESTER I,Imperative Programming Practical,
8,https://drive.google.com/open?id=1Vqtic11sPfmfjRxiBqfRB8NjgjH-O2iN,SEMESTER I,Digital Electronics Practical,
9,https://drive.google.com/open?id=1gU1s9PnqzOneQ5Hqd13zsMNgxT0c2Yvd,SEMESTER I,Operating System Practical,
10,https://drive.google.com/open?id=1S9novUSo4Mx1ycLOUc2gcuMZvUkjflRI,SEMESTER I,Discrete Mathematics Practical,
11,https://drive.google.com/open?id=1qbnHi9-cVMFxs0ahBtrP0ldIgCwxdLKh,SEMESTER I,Communication Skills Practical,
12,https://drive.google.com/open?id=1KbMs5QRrfMDDAAlhdFBAaBR3QWoZXAut,SEMESTER II,Object Oriented Programming,https://drive.google.com/open?id=1KAHV4vBUPGOLKAcJaAvPh38FSUE0z0lQ
13,https://drive.google.com/open?id=1f64KApTdEW-QfzxNQ0XVrJMLLy2PQDaZ,SEMESTER II,Microprocessor Architecture,https://drive.google.com/open?id=1EiHze-jGzoo4qjyWfnL4RbwE9Nz6cgdl
14,https://drive.google.com/open?id=14SztTYyvfd3eqriDfHAGXaJDJlvYZ1dC,SEMESTER II,Web Programming,https://drive.google.com/open?id=1_EAU5WxSaol1rsWPPrcYY_C1New_d9Ey
15,https://drive.google.com/open?id=1W2vfLW6sQnRgCc7LbctBfHr9cDbgUc2-,SEMESTER II,Numerical and Statistical Methods,https://drive.google.com/open?id=1ZJXpRA5qMeCNeuvQZFkhx6E2hOmNZ3uN
